SourceText,text,type,note
"Help your baby learn through play.  Put objects in your baby’s grasping hand, show them different materials, and answer when they ‘talk’ to you. ","Help your baby learn through play.  Put objects in your baby’s grasping hand, show them different materials, and answer when they ‘talk’ to you. ",text,
"Unfortunately, your baby will go through phases for the next 2 years of sleeping poorly. Try wearing your baby close to you, feeding them and carrying them in a sling. And hang in there, remember it’s a phase. You and your baby will get through it together!","Unfortunately, your baby will go through phases for the next 2 years of sleeping poorly. Try wearing your baby close to you, feeding them and carrying them in a sling. And hang in there, remember it’s a phase. You and your baby will get through it together!",text,
Your baby will cry as soon as a caregiver’s attention is diverted and are cranky as well as clingy. Prioritise being there for them and give them physical contact when needed.,Your baby will cry as soon as a caregiver’s attention is diverted and are cranky as well as clingy. Prioritise being there for them and give them physical contact when needed.,text,
Check to see why your baby is in a bad mood. Are they tired or hungry? Or maybe they are not feeling well? Or maybe they need some more loving attention. Be a reassuring presence for your baby when they are having a difficult day.,Check to see why your baby is in a bad mood. Are they tired or hungry? Or maybe they are not feeling well? Or maybe they need some more loving attention. Be a reassuring presence for your baby when they are having a difficult day.,text,
"Remember that you’re in charge of what they eat, but not how much. Newborns have stomach the size of a grape! They need to eat often (sometimes in the middle of the night. ","Remember that you’re in charge of what they eat, but not how much. Newborns have stomach the size of a grape! They need to eat often (sometimes in the middle of the night. ",text,
"It’s important to build trust around eating, especially as your baby starts on solid food. Let them know you are listening to their wishes in the eating department. They’ll be ravenous again soon!","It’s important to build trust around eating, especially as your baby starts on solid food. Let them know you are listening to their wishes in the eating department. They’ll be ravenous again soon!",text,
Do you need some ideas of what you can do with your child?,Do you need some ideas of what you can do with your child?,text,
"Pay close attention to your baby in case they try something dangerous! Just because they are able to play on their own now, doesn’t mean you can look away for long. Redirect mischievous behaviours into practice waving, imitation games, singing and moving games and pretending to talk on the phone!","Pay close attention to your baby in case they try something dangerous! Just because they are able to play on their own now, doesn’t mean you can look away for long. Redirect mischievous behaviours into practice waving, imitation games, singing and moving games and pretending to talk on the phone!",text,
Try to stay calm and support your toddler as they move through the tantrum. Your priority is to ensure that they don’t hurt themselves. Don’t add to your child’s anger by shouting and showing angry emotions. This won’t help.,Try to stay calm and support your toddler as they move through the tantrum. Your priority is to ensure that they don’t hurt themselves. Don’t add to your child’s anger by shouting and showing angry emotions. This won’t help.,text,
Babies are much more likely to want to do things if you make the activity fun and playful. Patience is also a must. Take a deep breath if you notice yourself getting frustrated by your baby.,Babies are much more likely to want to do things if you make the activity fun and playful. Patience is also a must. Take a deep breath if you notice yourself getting frustrated by your baby.,text,
Would you like to learn more about this tip?,Would you like to learn more about this tip?,text,
"Your baby or toddler may sometimes want something that they cannot have. If they start whining, first check to see if there is something wrong (are they actually hungry or tired)? If they continue, try to redirect their attention to something else. You should also try to ignore their behaviour while attending to them for comfort and support","Your baby or toddler may sometimes want something that they cannot have. If they start whining, first check to see if there is something wrong (are they actually hungry or tired)? If they continue, try to redirect their attention to something else. You should also try to ignore their behaviour while attending to them for comfort and support",text,
Be open to your children. They get stressed too - sometimes from different things from you. Allow them to express how they feel and accept their feelings. Try to listen to them and think about how it must feel for them.,Be open to your children. They get stressed too - sometimes from different things from you. Allow them to express how they feel and accept their feelings. Try to listen to them and think about how it must feel for them.,text,
Here are some tips for how we can help our children learn how to cope with their emotions:,Here are some tips for how we can help our children learn how to cope with their emotions:,text,
1. Be open to your child,1. Be open to your child,text,
2. Share your own feelings,2. Share your own feelings,text,
3. Help your child learn how to talk about feelings,3. Help your child learn how to talk about feelings,text,
4. Talking about difficult emotions,4. Talking about difficult emotions,text,
5. Notice the positive emotions,5. Notice the positive emotions,text,
6. Show your child that you care,6. Show your child that you care,text,
"To learn more about one of these, type ""1"" to ""6"". You can also type ""N"" to stop this tip.","To learn more about one of these, type ""1"" to ""6"". You can also type ""N"" to stop this tip.",text,
Your child will look to you for support and reassurance. Listen to your children when they share how they are feeling. Accept how they feel and give them comfort.,Your child will look to you for support and reassurance. Listen to your children when they share how they are feeling. Accept how they feel and give them comfort.,text,
"When you share your own feelings with your children, you help them recognise their own feelings. It can also help your children learn self-discipline and to understand their own feelings.","When you share your own feelings with your children, you help them recognise their own feelings. It can also help your children learn self-discipline and to understand their own feelings.",text,
"There are 6 basic emotions: Happy, Sad, Angry, Disgusted, Surprised, and Afraid. Even babies can feel and express these emotions. As children get older, they learn to identify lots of other emotions, like excited, frustrated, proud, lonely, peaceful, guilty, or confused.","There are 6 basic emotions: Happy, Sad, Angry, Disgusted, Surprised, and Afraid. Even babies can feel and express these emotions. As children get older, they learn to identify lots of other emotions, like excited, frustrated, proud, lonely, peaceful, guilty, or confused.",text,
It is normal to have difficulty talking about and expressing emotions and feelings. Many of us were told not to cry when we were sad or laugh when we were happy. This may be especially the case for boys and men.,It is normal to have difficulty talking about and expressing emotions and feelings. Many of us were told not to cry when we were sad or laugh when we were happy. This may be especially the case for boys and men.,text,
"Talking about feelings can help children manage anger, disappointment, and frustration. It can also help your child be more aware of positive emotions such as a sense of peace, happiness, or calmness. It can also allow children to appreciate a beautiful moment or feeling of love!","Talking about feelings can help children manage anger, disappointment, and frustration. It can also help your child be more aware of positive emotions such as a sense of peace, happiness, or calmness. It can also allow children to appreciate a beautiful moment or feeling of love!",text,
"Use physical and verbal support to make your child feel accepted and loved. A hug or saying, ""I understand,"" can mean a lot. Remind your child that you are there for them and that they can always talk to you. ","Use physical and verbal support to make your child feel accepted and loved. A hug or saying, ""I understand,"" can mean a lot. Remind your child that you are there for them and that they can always talk to you. ",text,
"But we all have the same feelings, and  we can learn how to become aware of our own emotions, to experience them in our body, and to communicate about them.","But we all have the same feelings, and  we can learn how to become aware of our own emotions, to experience them in our body, and to communicate about them.",text,
Do you want to go back and learn more about talking about emotions?,Do you want to go back and learn more about talking about emotions?,text,
Well done! You have added another skill to your Parenting Toolkit! Remember that all emotions are okay. It's how we respond to them that is important!,Well done! You have added another skill to your Parenting Toolkit! Remember that all emotions are okay. It's how we respond to them that is important!,text,
"Remember you can always type ""Help"" if you ever want more parenting tips or support. ","Remember you can always type ""Help"" if you ever want more parenting tips or support. ",text,
 Chat to you later!, Chat to you later!,text,
Use consequences for refusing to follow instructions or forgetting household rules. Consequences help teach our children responsibility for what they do. They also allow discipline that is controlled. This is more effective than hitting or shouting. ,Use consequences for refusing to follow instructions or forgetting household rules. Consequences help teach our children responsibility for what they do. They also allow discipline that is controlled. This is more effective than hitting or shouting. ,text,
"Children and teens often act disrespectfully or like they only care about themselves. Growing up is a difficult time when they are learning about who they are and how they want to be in the world. Luckily, there are other ways to discipline your teen without using violence…and they work well!","Children and teens often act disrespectfully or like they only care about themselves. Growing up is a difficult time when they are learning about who they are and how they want to be in the world. Luckily, there are other ways to discipline your teen without using violence…and they work well!",text,
Giving calm consequences help teach our children responsibility for what they do. They also allow discipline that is controlled. This is more effective than hitting or shouting.,Giving calm consequences help teach our children responsibility for what they do. They also allow discipline that is controlled. This is more effective than hitting or shouting.,text,
Would you like to learn more?,Would you like to learn more?,text,
"That's okay! You can always type ""Help"" at anytime if you need any support with your children. Chat to you later!","That's okay! You can always type ""Help"" at anytime if you need any support with your children. Chat to you later!",text,
Here are 5 tips for using consequences:,Here are 5 tips for using consequences:,text,
1. Give a choice before consequence,1. Give a choice before consequence,text,
2. Stay calm but be firm,2. Stay calm but be firm,text,
3. Be realistic and follow through,3. Be realistic and follow through,text,
4. Reconnect afterwards,4. Reconnect afterwards,text,
5. Consequences for breaking rules,5. Consequences for breaking rules,text,
"To learn more about one of these tips, type ""1"" to ""5"". You can also type ""N"" to move on.","To learn more about one of these tips, type ""1"" to ""5"". You can also type ""N"" to move on.",text,
1. Give your child a choice to follow your instruction before giving them the consequence.,1. Give your child a choice to follow your instruction before giving them the consequence.,text,
2. Try to stay calm but firm when giving the consequence.,2. Try to stay calm but firm when giving the consequence.,text,
"If you start yelling, it will just make things worse. Take a deep breath before you speak in a clear, calm, and firm voice.","If you start yelling, it will just make things worse. Take a deep breath before you speak in a clear, calm, and firm voice.",text,
"Make sure you can follow through with the consequence. For example, taking away a teenager’s phone for a week is hard to enforce. Taking it away for one hour is more realistic.","Make sure you can follow through with the consequence. For example, taking away a teenager’s phone for a week is hard to enforce. Taking it away for one hour is more realistic.",text,
"Consequences can also be used when your children forget a household rule, like going to bed at a certain hour or doing schoolwork before T.V.","Consequences can also be used when your children forget a household rule, like going to bed at a certain hour or doing schoolwork before T.V.",text,
4. Reconnect afterwards. ,4. Reconnect afterwards. ,text,
"Once the consequence is over, give your child a chance to do something good, and praise them for it.","Once the consequence is over, give your child a chance to do something good, and praise them for it.",text,
"For example, you can tell your child that if they do not do their schoolwork before dinner, they cannot watch their favourite T.V. show that evening.","For example, you can tell your child that if they do not do their schoolwork before dinner, they cannot watch their favourite T.V. show that evening.",text,
Do you want to go back and learn more about using consequences?,Do you want to go back and learn more about using consequences?,text,
Would you like some examples of ways you could use consequences? ,Would you like some examples of ways you could use consequences? ,text,
Okay! Here are some behaviours and possible consequences you could use:,Okay! Here are some behaviours and possible consequences you could use:,text,
Fighting with siblings -> Take 1 minute pause in separate parts of the room,Fighting with siblings -> Take 1 minute pause in separate parts of the room,text,
Talking rudely to elders -> Write a letter of apology,Talking rudely to elders -> Write a letter of apology,text,
Using gadget over the limit -> No gadget use the next day,Using gadget over the limit -> No gadget use the next day,text,
Forgetting safe distancing rules -> Need to hold my hand for 10 minutes (kids),Forgetting safe distancing rules -> Need to hold my hand for 10 minutes (kids),text,
Forgetting safe distancing rules -> Cannot see friends for a day (teen),Forgetting safe distancing rules -> Cannot see friends for a day (teen),text,
Refusing to put away toys -> Cannot play with them after dinner (or next hour),Refusing to put away toys -> Cannot play with them after dinner (or next hour),text,
"In summary, consequences should be...","In summary, consequences should be...",text,
• Realistic: Consider the age of your child,• Realistic: Consider the age of your child,text,
• Immediate: Give them as soon as possible,• Immediate: Give them as soon as possible,text,
• Fair: Make sure the consequence is not too harsh,• Fair: Make sure the consequence is not too harsh,text,
• Consistent: Make sure you can follow through if you have to,• Consistent: Make sure you can follow through if you have to,text,
• The last resort: Try to encourage the positive behaviour to happen more often!,• The last resort: Try to encourage the positive behaviour to happen more often!,text,
Well done! You have added another skill to your Parenting Toolkit! ,Well done! You have added another skill to your Parenting Toolkit! ,text,
Using consequences can help children learn that their actions have an impact on themselves and others. It is an important step to prepare them for their life outside of the family as they get older.,Using consequences can help children learn that their actions have an impact on themselves and others. It is an important step to prepare them for their life outside of the family as they get older.,text,
"When our children share something that is especially troubling, we need to remember to stay calm, listen, and be open.","When our children share something that is especially troubling, we need to remember to stay calm, listen, and be open.",text,
Here are some things you can do when your teen shares something difficult with you:,Here are some things you can do when your teen shares something difficult with you:,text,
• Take a deep breath before you respond. ,• Take a deep breath before you respond. ,text,
• Listen to what your child is saying. Notice how they are feeling.,• Listen to what your child is saying. Notice how they are feeling.,text,
"• Notice how you feel. Ask yourself, ""What does my child need right now?"" ","• Notice how you feel. Ask yourself, ""What does my child need right now?"" ",text,
• Reassure your child that you are there for them. ,• Reassure your child that you are there for them. ,text,
• You can deal with the consequences later but right now your child needs you.,• You can deal with the consequences later but right now your child needs you.,text,
• Discuss possible solutions or next steps to take action. ,• Discuss possible solutions or next steps to take action. ,text,
• Remind your child again that you love them and thank them for sharing with you. ,• Remind your child again that you love them and thank them for sharing with you. ,text,
"We understand that this can be really difficult. Please type ""Help"" if you want any extra support or guidance.","We understand that this can be really difficult. Please type ""Help"" if you want any extra support or guidance.",text,
Well done! You have added another skill to your Parenting Toolkit! Supporting your child through a crisis will also teach them how to support others in difficult times. Good for you!,Well done! You have added another skill to your Parenting Toolkit! Supporting your child through a crisis will also teach them how to support others in difficult times. Good for you!,text,
"The sound of a baby crying can be very distressing, especially for a parent. It is completely natural to want to make it stop. You might also think that you are not a good parent or that your baby is crying to spite you. But all babies cry. It is one of the main ways a baby can tell you that something is wrong.","The sound of a baby crying can be very distressing, especially for a parent. It is completely natural to want to make it stop. You might also think that you are not a good parent or that your baby is crying to spite you. But all babies cry. It is one of the main ways a baby can tell you that something is wrong.",text,
Here are some tips that might help when your baby cries:,Here are some tips that might help when your baby cries:,text,
1. Why babies cry,1. Why babies cry,text,
2. Respond as soon as you can,2. Respond as soon as you can,text,
3. Check to see why your baby is crying,3. Check to see why your baby is crying,text,
4. Comfort your baby,4. Comfort your baby,text,
5. Take a break if you need it,5. Take a break if you need it,text,
6. Be gentle and patient with yourself,6. Be gentle and patient with yourself,text,
"7. If you think your baby is injured or sick, call or visit a clinic","7. If you think your baby is injured or sick, call or visit a clinic",text,
"To learn more about one of these, type ""1"" to ""7"". You can also type ""N"" to stop this tip.","To learn more about one of these, type ""1"" to ""7"". You can also type ""N"" to stop this tip.",text,
1. Why do babies cry?,1. Why do babies cry?,text,
"Crying is a normal part of your baby's development. Sometimes babies even have crying patterns. Crying usually increases at 2-3 weeks old and is generally highest when your baby is around 6 to 8 weeks. Often babies will start crying less around 3 to 4 months. Of course, remember that every baby is different!","Crying is a normal part of your baby's development. Sometimes babies even have crying patterns. Crying usually increases at 2-3 weeks old and is generally highest when your baby is around 6 to 8 weeks. Often babies will start crying less around 3 to 4 months. Of course, remember that every baby is different!",text,
"Go to your baby when you hear them crying. You will not spoil your baby by picking them up. Babies who are carried and cuddled frequently, during both fussy and contented periods, may actually cry less.","Go to your baby when you hear them crying. You will not spoil your baby by picking them up. Babies who are carried and cuddled frequently, during both fussy and contented periods, may actually cry less.",text,
3.  Check to see why your baby is crying,3.  Check to see why your baby is crying,text,
"There are lots of reasons why babies cry. It might be hunger, pain, too much going on, rough handling, feeling cold/hot, wanting contact or attention, or feeling irritable. Babies can cry when they sense tension in the room. And sometimes they cry for no reason at all! ","There are lots of reasons why babies cry. It might be hunger, pain, too much going on, rough handling, feeling cold/hot, wanting contact or attention, or feeling irritable. Babies can cry when they sense tension in the room. And sometimes they cry for no reason at all! ",text,
"Try swaddling, gently rocking, or singing or soft music. You might need to feed your baby or change their diaper. They may be too hot or too cold. Or maybe they just need to be held. Take a Pause and try to relax - your baby can actually sense tension from you, too!","Try swaddling, gently rocking, or singing or soft music. You might need to feed your baby or change their diaper. They may be too hot or too cold. Or maybe they just need to be held. Take a Pause and try to relax - your baby can actually sense tension from you, too!",text,
5. Take a break!,5. Take a break!,text,
"If you are getting angry because your baby won’t stop crying, it’s OK to leave them on their back in a safe place and walk away for a bit. Check on your baby every 5-10 minutes. ","If you are getting angry because your baby won’t stop crying, it’s OK to leave them on their back in a safe place and walk away for a bit. Check on your baby every 5-10 minutes. ",text,
We know that this is not easy. You are not a bad parent if your baby continues to cry after you have done all they can to calm them. You are doing your best!,We know that this is not easy. You are not a bad parent if your baby continues to cry after you have done all they can to calm them. You are doing your best!,text,
"If your baby cries for a long time and does not stop, they might be injured or sick. You should seek medical help immediately. ","If your baby cries for a long time and does not stop, they might be injured or sick. You should seek medical help immediately. ",text,
"Call someone for help - a family member, a friend. Sometimes just talking with someone is enough, but if you feel overwhelmed, ask someone for help. Calling for help is a sign of strength.","Call someone for help - a family member, a friend. Sometimes just talking with someone is enough, but if you feel overwhelmed, ask someone for help. Calling for help is a sign of strength.",text,
Well done! You have added another skill to your Parenting Toolkit. Remember that there are no bad parents. We are all learning here!,Well done! You have added another skill to your Parenting Toolkit. Remember that there are no bad parents. We are all learning here!,text,
Do you want to go back and learn more about what to do when your baby is crying?,Do you want to go back and learn more about what to do when your baby is crying?,text,
"Remember you can always type ""Help"" if you ever want more parenting tips or support. Chat to you later!","Remember you can always type ""Help"" if you ever want more parenting tips or support. Chat to you later!",text,
"Ignore negative attention seeking and demanding behaviours like whining or tantrums. Your child’s behaviour might at first get worse, but with time they will learn that it does not work. Be consistent and patient. And make sure that you are also giving your child plenty of positive attention at other times. You can do it!","Ignore negative attention seeking and demanding behaviours like whining or tantrums. Your child’s behaviour might at first get worse, but with time they will learn that it does not work. Be consistent and patient. And make sure that you are also giving your child plenty of positive attention at other times. You can do it!",text,
Here are 6 steps on how we can reduce negative attention seeking and demanding behaviours like tantrums using what we call Ignore:,Here are 6 steps on how we can reduce negative attention seeking and demanding behaviours like tantrums using what we call Ignore:,text,
1. Try to redirect your child’s attention,1. Try to redirect your child’s attention,text,
2. Make sure it is a behaviour you can ignore,2. Make sure it is a behaviour you can ignore,text,
3. Ignore the behaviour not your child,3. Ignore the behaviour not your child,text,
4. Praise your child immediately for the next positive behaviour,4. Praise your child immediately for the next positive behaviour,text,
5. Be consistent when ignoring,5. Be consistent when ignoring,text,
6. Make sure you are giving your child plenty of positive attention at other times.,6. Make sure you are giving your child plenty of positive attention at other times.,text,
"To learn more about one of these tips, type ""1"" to ""6"". You can also type ""N"" to move on.","To learn more about one of these tips, type ""1"" to ""6"". You can also type ""N"" to move on.",text,
Well done! You have added another skill to your Parenting Toolkit. ,Well done! You have added another skill to your Parenting Toolkit. ,text,
"Ignoring negative attention seeking and demanding behaviours is not easy. But if you are patient and give it time, it really works. You can do this!","Ignoring negative attention seeking and demanding behaviours is not easy. But if you are patient and give it time, it really works. You can do this!",text,
1. Try to redirect your child's attention,1. Try to redirect your child's attention,text,
"When they start demanding for something or whining, first try to redirect them to a positive behaviour or activity. Praise them for that positive behaviour! ","When they start demanding for something or whining, first try to redirect them to a positive behaviour or activity. Praise them for that positive behaviour! ",text,
"These are behaviours like whining, demanding, showing off, tantrums, and lots of other negative attention seeking and demanding behaviours that might make us think of the child as a bad child. But there are no bad children, only difficult behaviours!","These are behaviours like whining, demanding, showing off, tantrums, and lots of other negative attention seeking and demanding behaviours that might make us think of the child as a bad child. But there are no bad children, only difficult behaviours!",text,
3. Ignore the behaviour not your child.,3. Ignore the behaviour not your child.,text,
Ignoring behaviour means removing physical and verbal attention. You should still be aware of what your child is doing.,Ignoring behaviour means removing physical and verbal attention. You should still be aware of what your child is doing.,text,
"When you ignore your child's behaviour (but not your child!), your child learns that the demanding behaviour will not work.","When you ignore your child's behaviour (but not your child!), your child learns that the demanding behaviour will not work.",text,
"If we respond to these behaviours, our children learn that this behaviour will get them attention. They sometimes also learn that if they increase the demand, they will get their way.","If we respond to these behaviours, our children learn that this behaviour will get them attention. They sometimes also learn that if they increase the demand, they will get their way.",text,
This takes time AND patience. Normally your child will try to test you and behave worse. This is a good time to Take a Pause and Keep Calm.,This takes time AND patience. Normally your child will try to test you and behave worse. This is a good time to Take a Pause and Keep Calm.,text,
"For example, if your child whines for sweets at the store, you might initially say “no” but then give in to your child when they start to have a tantrum. This happens to all of us!","For example, if your child whines for sweets at the store, you might initially say “no” but then give in to your child when they start to have a tantrum. This happens to all of us!",text,
Having a tantrum can be just as traumatic and difficult for your child as it is for you. Make sure you give your child plenty of positive attention and love as soon as they have calmed down. ,Having a tantrum can be just as traumatic and difficult for your child as it is for you. Make sure you give your child plenty of positive attention and love as soon as they have calmed down. ,text,
6. Make sure you are giving your child plenty of positive attention at other times,6. Make sure you are giving your child plenty of positive attention at other times,text,
"Children need attention. If children get plenty of attention for just being themselves, as well as for the “good” things that they do, it helps them to feel good about themselves, and they do more of what they are asked.","Children need attention. If children get plenty of attention for just being themselves, as well as for the “good” things that they do, it helps them to feel good about themselves, and they do more of what they are asked.",text,
Your child's behaviour might continue to get worse.  It is important that you continue to ignore the behaviour.,Your child's behaviour might continue to get worse.  It is important that you continue to ignore the behaviour.,text,
"Often, your child's response will grow more agitated when you start ignoring a specific behaviour as your child tries to test your resolve. ","Often, your child's response will grow more agitated when you start ignoring a specific behaviour as your child tries to test your resolve. ",text,
"At this time, it is more important that you involve your child in a positive activity instead of talking about what just happened. You can do that later like at night or the next day. Right now your child needs love.","At this time, it is more important that you involve your child in a positive activity instead of talking about what just happened. You can do that later like at night or the next day. Right now your child needs love.",text,
"If you find yourself ignoring your child's behaviour a lot, it is either because you are not being consistent (sometimes ignoring and sometimes giving in) OR you are not spending enough positive time with your child. One-on-One Time is super important!","If you find yourself ignoring your child's behaviour a lot, it is either because you are not being consistent (sometimes ignoring and sometimes giving in) OR you are not spending enough positive time with your child. One-on-One Time is super important!",text,
"Try to remain consistent. Over time, your child will learn that the demanding behaviour no longer works.","Try to remain consistent. Over time, your child will learn that the demanding behaviour no longer works.",text,
Do you want to go back and learn more about how to use ignore to reduce tantrums or other difficult behaviours?,Do you want to go back and learn more about how to use ignore to reduce tantrums or other difficult behaviours?,text,
"Invest in One-on-One Time! The more time you spend with your children, the more likely they will listen to you and behave well at other times. It really works!","Invest in One-on-One Time! The more time you spend with your children, the more likely they will listen to you and behave well at other times. It really works!",text,
"The first 1000 days of life are a window of opportunity for your baby. It is when their brain develops faster than any other time in their life. When you spend time with your baby, you build a healthy attachment between you both that will make them feel secure and loved. ","The first 1000 days of life are a window of opportunity for your baby. It is when their brain develops faster than any other time in their life. When you spend time with your baby, you build a healthy attachment between you both that will make them feel secure and loved. ",text,
"It is normal to struggle to think of what to do with our babies, especially when it seems they just eat, sleep, cry, poop, and repeat. It can be especially challenging when your baby is very young and not able to talk to you.","It is normal to struggle to think of what to do with our babies, especially when it seems they just eat, sleep, cry, poop, and repeat. It can be especially challenging when your baby is very young and not able to talk to you.",text,
"When we have difficult relationships with our teenagers, it can be hard to find pleasure from spending time with them. Instead, we spend a lot of time disciplining them or complaining about how they are behaving.","When we have difficult relationships with our teenagers, it can be hard to find pleasure from spending time with them. Instead, we spend a lot of time disciplining them or complaining about how they are behaving.",text,
"One-on-One Time with your children is free and fun. It makes children feel loved and secure, and shows them that they are important. It also increases their confidence and self-esteem!","One-on-One Time with your children is free and fun. It makes children feel loved and secure, and shows them that they are important. It also increases their confidence and self-esteem!",text,
"One-on-One Time with your teen helps build a positive and trusting relationship. When you really notice them and listen to what they are saying and what they like, you make them feel valued and appreciated.","One-on-One Time with your teen helps build a positive and trusting relationship. When you really notice them and listen to what they are saying and what they like, you make them feel valued and appreciated.",text,
"That's okay! You can always type ""Help"" whenever you want to learn more about how to spend One-on-One Time with your child. Chat to you later!","That's okay! You can always type ""Help"" whenever you want to learn more about how to spend One-on-One Time with your child. Chat to you later!",text,
"That's okay! You can always type ""Help"" whenever you want to learn more about how to spend One-on-One Time with your baby. Chat to you later!","That's okay! You can always type ""Help"" whenever you want to learn more about how to spend One-on-One Time with your baby. Chat to you later!",text,
Here are 7 easy tips to make One-on-One Time with your baby a success:,Here are 7 easy tips to make One-on-One Time with your baby a success:,text,
1. Do it every day,1. Do it every day,text,
2. Be close to your baby,2. Be close to your baby,text,
3. Let your baby take the lead,3. Let your baby take the lead,text,
4. Observe and listen to your child,4. Observe and listen to your child,text,
5. Play with your baby,5. Play with your baby,text,
6. Talk to your baby,6. Talk to your baby,text,
7. You can have quality time with your baby anytime! ,7. You can have quality time with your baby anytime! ,text,
"To learn more about one of these tips, type ""1"" to ""7"". You can also type ""N"" to move on.","To learn more about one of these tips, type ""1"" to ""7"". You can also type ""N"" to move on.",text,
Here are 6 tips to make One-on-One Time with your child a success:,Here are 6 tips to make One-on-One Time with your child a success:,text,
1. Spend at least five minutes with each child,1. Spend at least five minutes with each child,text,
2. Give your child your full attention,2. Give your child your full attention,text,
3. Let your child choose the activity,3. Let your child choose the activity,text,
4. Follow your child's lead,4. Follow your child's lead,text,
5. Use words to describe what your child is doing,5. Use words to describe what your child is doing,text,
6. Have fun!,6. Have fun!,text,
"That's okay! You can always type ""Help"" whenever you want to learn more about how to spend One-on-One Time with your teen. Chat to you later!","That's okay! You can always type ""Help"" whenever you want to learn more about how to spend One-on-One Time with your teen. Chat to you later!",text,
Here are 6 tips on how to make One-on-One Time a positive experience for you and your teen:,Here are 6 tips on how to make One-on-One Time a positive experience for you and your teen:,text,
2. Let your teen choose the activity,2. Let your teen choose the activity,text,
3. Follow your teen's lead,3. Follow your teen's lead,text,
4. Give your teen your full attention,4. Give your teen your full attention,text,
5. Show your teen you are really listening,5. Show your teen you are really listening,text,
1. Do it every day!,1. Do it every day!,text,
Try to spend time playing with your baby every day for at least 20 minutes where you are giving them your full attention. Choose a time when you are unlikely to be interrupted. Switch off the television and put away phones.,Try to spend time playing with your baby every day for at least 20 minutes where you are giving them your full attention. Choose a time when you are unlikely to be interrupted. Switch off the television and put away phones.,text,
"Even 5 minutes a day of quality time  makes a big difference. If you have more than one child, you can take turns or let each child choose an activity. It can be at the same time each day so your children look forward to it.","Even 5 minutes a day of quality time  makes a big difference. If you have more than one child, you can take turns or let each child choose an activity. It can be at the same time each day so your children look forward to it.",text,
2. Be close to your child. ,2. Be close to your child. ,text,
"Skin-to-skin contact is especially important for new-borns and infants. For older toddlers, make sure you are at the same level as they are.","Skin-to-skin contact is especially important for new-borns and infants. For older toddlers, make sure you are at the same level as they are.",text,
"Make sure you will not be interrupted. Switch off the TV and put your phone on silent. It will show your child, they are important.","Make sure you will not be interrupted. Switch off the TV and put your phone on silent. It will show your child, they are important.",text,
Children need to do things in their own time. Try to give them time to explore and be patient. Remember that the world is brand new to your child!,Children need to do things in their own time. Try to give them time to explore and be patient. Remember that the world is brand new to your child!,text,
